자본금,고용인원,누적투자유치금액,투자유치횟수,연매출,서비스/제품 수,설립일자,주소,연간 퇴사율,공동 창업자 수,총 투자자 수,최근투자유치,특허기술 평균등급,최종투자단계,매출액_2020,매출액_2021,영업이익_2020,영업이익_2021,순이익_2020,순이익_2021,자산_2020,자산_2021,자본_2020,자본_2021,기업명,산업군,2022기준 시장규모
"2,917만원",8명,1억원,1,2.2억원,1,2020-12-21,"인천 연수구 송도과학로16번길 13-18, 718호",24.50%,1,1,1억,2,seed,0,3.7억원,-70만원,-1.9억원,-70만원,1.4억원,100만원,3.1억원,100만원,101만원,엔모션,전기차배터리,254.9조원
"3,000만원",13명,80억원,1,13.3억원,3,2020-11-18,"인천 연수구 송도미래로 30, D동 23층 2306호",0%,1,1,80억,2,pre-A,"1,000만원",13.3억원,-100.7만원,2.1억원,-100.5만원,1.9억원,"3,535.3만원",8.4억원,"2,899.5만원",2.2억원,에이치제이웨이브,자율주행차,166.2조원
1.1억원,2명,2억원,1,1.9억원,3,2019-11-18,"경남 창원시 의창구 창원대로18번길 22, 벤처동 104호, 407호",100%,1,1,2억,2,seed,"5,031.4만원",1.6억원,-3.1억원,-3.3억원,-1.7억원,-2.3억원,5.4억원,3.8억원,"-9,232.2만원",-3.2억원,디알드라이브,감속기,48.2조원
1.5억원,10명,1억원,1,3.7억원,12,2016-12-30,"경기 성남시 분당구 판교로289번길 20, 2동 8층",82.10%,1,1,1억,2.8,seed,1억원,1.8억원,-2.1억원,-5.9억원,"3,998.8만원","1,239.5만원",4.8억원,11.2억원,1억원,1.8억원,힐스로보틱스,로봇,42.6조원
1.4억원,11명,10억원,1,5.8억원,1,2017-11-20,"서울 강남구 논현로 654, 3층",51.80%,1,1,10억,2,pre-A,47.6억원,40.7억원,1.5억원,2.1억원,1.6억원,2.3억원,18.7억원,58.5억원,12.7억원,48억원,로그싱크,디지털헬스케어,345.3조원
"1,526.8만원",29명,16.4억원,3,3.7억원,1,2019-03-05,"서울 서초구 성촌길 33, 7층 5호, 6호",32.90%,1,6,15억,0,pre-A,"9,720만원",1.7억원,-5억원,-9.4억원,23.9만원,-1.3억원,2.4억원,5.2억원,2.4억원,1억원,메이아이,생성형ai,52.7조원
"1,375.9만원",2명,10억원,2,1.3억원,1,2020-05-12,"서울 강남구 강남대로 382, 16층",33.30%,1,2,5억,0,seed,"8,554.1만원",1.3억원,-3.9억원,-4.8억원,-2.9억원,-4.2억원,1.4억원,6.6억원,"5,035.9만원",1.2억원,사운드짐,디지털헬스케어,345.3조원
"6,390만원",5명,10억원,2,25.4만원,1,2020-02-06,"서울 강남구 선릉로93길 40, 3층",0%,1,2,10억,0,pre-A,13.9만원,25.4만원,"-1,313.7만원","-6,643.2만원","-1,313.2만원","-6,013.7만원",834.5만원,880만원,"-1,013.2만원",-936.9만원,피에로컴퍼니,소셜네트워크,1조원
1.1억원,15명,13억원,2,25.6억원,1,2018-12-11,"경기 용인시 기흥구 동백중앙로 191, A동 8층 8398호",113.90%,1,2,13억,0,pre-A,2억원,4.2억원,119.1만원,"-3,746.3만원",84.6만원,"-3,188.5만원",3.4억원,7.7억원,"-6,840.7만원",1억원,패니지먼트,팬덤 경제,8조
9.3억원,11명,138.3억원,10,50.3억원,1,2019-05-23,"서울 강서구 마곡중앙8로5길 11, 204호,205호,206호,207호",153.60%,1,21,26억,4.7,pre-B,8.6억원,78.7억원,3.4억원,9.4억원,13.1억원,2.3억원,37.5억원,159.8억원,29억원,122.5억원,웨인힐스브라이언트에이아이,생성형ai,52.7조원
4.7억원,19명,30억원,3,1.5억원,1,2019-08-29,"서울 강남구 테헤란로 431, 4층",46.20%,2,9,16.8억,0,pre-A,71만원,172만원,-1.9억원,-10.2억원,-1.4억원,-9.2억원,2.4억원,3.6억원,"8,850.5만원",2.8억원,타운즈,카셰어링,19.5조원
"8,418만원",41명,5억원,1,77.2억원,3,2018-06-20,"서울 성동구 연무장3길 9, 1층",29.90%,1,1,5억,0,seed,7.3억원,45.7억원,-6.5억원,-2.7억원,-6.8억원,-4.3억원,28.5억원,44.1억원,8.5억원,"8,844.8만원",피치스그룹코리아,생성형ai,52.7조원
1.7억원,45명,3억원,2,8.4억원,1,2019-12-23,"서울 성동구 왕십리로 222, B동 224호",53.40%,1,2,2억,0,seed,"2,673.1만원",5.1억원,-3.7억원,-4.6억원,"-4,078.6만원",2억원,6.2억원,13.6억원,2억원,6.4억원,에스앤피랩,데이터,25.1조원
"1,111.1만원",6명,1억원,1,"1,930만원",1,2020-07-09,"경기 성남시 분당구 판교로289번길 20, 2동 605호",0%,2,1,1억,2,seed,"1,457만원","1,930만원","-4,066.7만원",-3.6억원,-178.2만원,"-3,673만원",1억원,1억원,1억원,"7,149.6만원",넷록스,클라우드,479.6조원
"3,124.9만원",4명,1억원,1,10.8억원,1,2019-01-25,"서울 서대문구 서소문로 37, 1026호",97.10%,2,1,1억,0,seed,1.6억원,"8,184.4만원",461.2만원,-2.5억원,552.2만원,"-8,915.8만원",1.3억원,2.2억원,-413.7만원,"-9,329.5만원",픽플스,디지털헬스케어,345.3조원
4.7억원,16명,15억원,3,6.8억원,2,2016-04-19,"전북 전주시 완산구 홍산로 275, 2층 237유호",43.50%,2,4,14억,3,pre-A,8억원,10.4억원,-4.5억원,-13.7억원,-3.7억원,-11.8억원,20.7억원,23.1억원,13.2억원,14.8억원,버츄어라이브,뷰티테크,72.6조원
1.2억원,17명,1억원,1,5.6억원,1,2018-03-08,"서울 서초구 매헌로8길 39, D동 201호",51.70%,1,1,1억,0,seed,18.4억원,13.1억원,6.8억원,-6.8억원,11억원,508.7만원,17.7억원,25.5억원,12.7억원,13.8억원,스마트마인드,데이터,25.1조원
3.9억원,6명,1억원,1,8.9억원,2,2020-07-20,"서울 강남구 역삼로 177, 3층",58.50%,1,1,1억,0,seed,"3,079.1만원",4.1억원,"-7,442.8만원",-1.9억원,"-6,008.8만원","1,519.4만원",3.7억원,4.2억원,1.1억원,1.3억원,널스노트,간호 용품,6149억원
988.4만원,3명,"7,000만원",1,5.9억원,2,2020-03-24,"서울 관악구 관악로 158, 5층",40%,1,1,"7,000만",0,seed,2.1억원,4.8억원,"4,113.6만원","2,748.4만원","3,841.3만원","2,640.8만원",2억원,6.4억원,1.1억원,2.3억원,김리을,의류제조,804.3조원
7.8억원,4명,20억원,1,3.7억원,3,2017-05-25,"서울 마포구 마포대로1길 21, 103동 2202호",32.40%,1,2,12억원,0,seed,1.1억원,1.6억원,-2.6억원,-3.2억원,"-6,231.7만원","2,995.5만원",22억원,22.4억원,6.8억원,7.1억원,오즈세파,나노필터,95.1조원
1.2억원,2명,4억원,1,9.2억원,1,2019-02-07,"서울 강동구 선사로 48, 3층",98.20%,1,1,4억,0,pre-A,1.6억원,2.8억원,-2.3억원,-2.6억원,-2.3억원,-2.6억원,3.8억원,2.2억원,3.5억원,"8,738.6만원",픽스맨,하우스 케어,200.7조원
"5,183.7만원",24명,16억원,4,23.5억원,1,2018-02-22,"서울 중구 남대문로9길 40, 20층",33.30%,2,5,5억,2,pre-A,13.4억원,17.7억원,-7.6억원,-8억원,-4.6억원,-6.5억원,11.1억원,5.5억원,10.8억원,3.3억원,사운드리퍼블리카,음원 유통,343.2조원
"9,741만원",6명,10억원,1,3.7억원,1,2019-02-07,"대구 동구 동내로 70, 506호",0%,1,1,5억,2.6,seed,636.4만원,1.3억원,-1.5억원,-1.8억원,-1.4억원,-1.6억원,3.1억원,6.8억원,"-3,601.4만원",3.4억원,휴카시스템,의료기기 로봇,12.5조원
"5,710.5만원",9명,2억원,2,9억원,1,2017-05-04,"서울 강남구 선릉로108길 9, 5층",34.30%,1,2,1.5억,0,seed,3.5억원,7.4억원,-1.3억원,1.6억원,"-1,435.1만원",1.5억원,3.9억원,4.7억원,"2,347.2만원",1.8억원,더에이아이랩,에듀테크,164.9조원
"8,995만원",5명,2.3억원,4,5.8억원,1,2017-05-11,"서울 강남구 테헤란로69길 5, 13층",141.20%,1,7,5억,0,seed,"3,067.4만원",2.3억원,-4.5억원,-6.9억원,"-7,240.4만원",-4.3억원,7.7억원,8억원,1.8억원,"6,377.9만원",둥글,소셜네트워크,254.8조원
4.2억원,14명,5억원,1,"5,956.2만원",3,2019-08-07,"인천 연수구 송도과학로 32, M동 1902호",8.50%,2,2,5억,2,seed,"1,435.8만원","5,023.7만원",-3.2억원,-2.6억원,-3.1억원,-2.5억원,4.1억원,32.5억원,2.8억원,20.3억원,지브레인,의료기기,67.5조원
6.5억원,14명,8억원,2,6.8억원,1,2017-08-22,"서울 구로구 디지털로30길 28, 1108호",39.30%,1,3,2억,0,seed,5.5억원,3.8억원,"6,241.6만원",-6억원,1억원,-5.2억원,15.4억원,30.1억원,11.9억원,26.6억원,엑세스랩,서버 개발,117.6조원
"3,431.2만원",12명,16.5억원,2,1.2억원,1,2020-06-23,"서울 마포구 신촌로2길 19, 4층",65.80%,1,2,15억,0,pre-A,"1,664.3만원","2,429.3만원","-4,944.7만원",-3.2억원,"-1,371.4만원",-2.2억원,1.3억원,1.8억원,"-1,271.4만원","-6,171.3만원",밴플,카셰어링,19.5조원
"3,000만원",20명,7억원,2,2.2억원,3,2019-03-05,"서울 도봉구 마들로13길 84, 2층 11호",76.90%,1,2,4억,0,seed,1억원,2.6억원,"-5,539.7만원",-4.1억원,"2,687.8만원","6,482.1만원","4,726.5만원",6.6억원,"3,076.6만원",3.9억원,투니모션,영상 제작,352.3조원
740.3만원,19명,40억원,4,8.4억원,1,2019-08-01,"대전 유성구 대학로 291, 9층 KAIST E19",34%,1,8,5억,0,pre-A,"4,604.3만원",2.8억원,-4.6억원,-1.9억원,-4.5억원,-1.7억원,4.5억원,6.3억원,4억원,2.3억원,레드윗,데이터,25.1조원
4.9억원,10명,14.4억원,5,12.6억원,1,2019-10-30,대구 남구 대명2동 17-201번지 102호,134.20%,1,7,2.6억,0,pre-A,1.7억원,7.2억원,"-9,494.2만원","-2,549만원","-1,409.3만원",-3.7억원,1.5억원,"4,845만원","3,436.1만원","-2,397만원",아트라미,미술 시장,89.3조원
"8,343.5만원",19명,11억원,3,2.4억원,1,2019-05-23,"서울 마포구 독막로 27, 401호",48.20%,1,4,2억,2,pre-A,2.3억원,2.6억원,"-2,442.4만원",-1억원,"-2,836.2만원",-1.1억원,3.5억원,4.9억원,"3,570.5만원",1.7억원,원스글로벌,보건의료 데이터,440.1조원
1.1억원,13명,22억,2,25.4억원,1,2020-08-28,"서울 종로구 서순라길 71, 2층",19.70%,1,2,11억,0,pre-A,"2,754.5만원",3.3억원,"-1,200.3만원",-1.8억원,"-1,199.3만원",-1.8억원,"2,394.5만원",3.5억원,"-1,198.3만원",2.5억원,트리플랩스,주얼리 전자상거래,1.7조원
"6,863.2만원",62명,240억원,3,120억원,2,2016-11-25,"서울 강서구 마곡중앙6로 21, 917호",37.40%,2,8,210억,2,pre-A,13.9억원,37억원,-7.3억원,11.8억원,-7억원,10.9억원,9.1억원,25.7억원,-4.6억원,6.3억원,체커,데이터 관리,117.4조원
233.3만원,2명,4억원,1,1.1억원,1,2020-03-02,"서울 마포구 마포대로 122, 18층 한달어스",87.50%,1,1,4억,0,seed,"6,329.5만원",1.1억원,-915.7만원,-1.7억원,-914.5만원,"-6,626.4만원","1,681.6만원",4.3억원,"1,211.9만원",3.4억원,한달어스,소셜네트워크,254.8조원
186만원,26명,40억원,2,5.3억원,1,2018-04-19,"경기 화성시 우정읍 조암동로36번길 54, 107호",27.90%,1,3,30억,2,pre-A,"1,640.6만원",2.1억원,-5.6억원,-3.6억원,71.1만원,"8,909.7만원",7.3억원,38.3억원,3.6억원,34.5억원,휴멜로,생성형ai,52.7조원
2.7억원,19명,10억원,1,33.9억원,1,2017-05-01,"서울 서초구 태봉로 114, 602호",64.40%,1,2,5억,0,pre-A,20.5억원,39.9억원,"-5,021.1만원",-24.9억원,6.1억원,-9.2억원,29.9억원,11.5억원,14.1억원,4.9억원,딥네츄럴,데이터,25.1조원
"5,114.9만원",24명,1억,1,27억원,5,2016-06-15,"경기 김포시 사우중로 87, 201호",50%,1,1,1억,0,seed,7.5억원,19.2억원,401.8만원,-539.4만원,1.4억원,1억원,4.4억원,7.7억원,164,2.8억원,넥스트러너스,에듀테크,164.9조원
106.7만원,6명,15억원,2,1.3억원,1,2017-11-07,"서울 강남구 역삼로 228, 2층",77.80%,1,3,5억,0,pre-A,1.5억원,1.3억원,-2.4억원,-2.7억원,"-2,600.5만원","-1,103.1만원",5.7억원,9.3억원,114.5만원,2.9억원,아이들랩,에듀테크,164.9조원
1억원,15명,20억원,1,45.1억원,1,2016-10-18,"서울 강남구 봉은사로 331, 9층",52.80%,1,1,20억,0,pre-A,19억원,27.5억원,"1,257.4만원",2.1억원,1.5억원,3.9억원,5.1억원,8.8억원,"-5,423.5만원",3.3억원,알고랩,배달,171.4조원
3.3억원,27명,34억원,2,66.9억원,1,2020-05-21,"서울 서초구 태봉로 114, 5층",39.90%,1,4,24억,0,pre-A,9.9억원,49.6억원,-3.9억원,-7.6억원,-3.3억원,-2.5억원,5.7억원,12.2억원,2.9억원,"3,847.7만원",어크로스비,물류 관리,30조원
129.4만원,18명,15억원,4,14.2억원,1,2019-06-26,서울 성북구 안암동5가 1-2번지 고려대학교 경영대학 본관 2층,86.20%,1,5,3억,0,pre-A,2.3억원,14.2억원,-3.1억원,-3.7억원,-2.3억원,-1.9억원,2.3억원,4억원,2억원,638.1만원,앰프,팬덤 경제,8조
6.3억원,16명,30억원,3,10.1억원,1,2016-06-24,"경기 안양시 동안구 시민대로327번길 11-41, 612호",12.70%,1,4,20억,4,pre-A,3억원,5.8억원,-2.8억원,"-8,113.7만원","1,712.8만원","6,380.3만원",2.2억원,23억원,-7.1억원,11.4억원,포인블랙,에듀테크,164.9조원
"3,797.5만원",7명,4억원,1,"2,894.7만원",1,2018-04-18,"경기 성남시 수정구 대왕판교로 815, 판교 제2테크노밸리 기업지원허브 창업존 8층 824호",67.60%,1,2,4억,0,seed,1.1억원,1억원,-2.4억원,-3.3억원,-1.6억원,"-8,690.2만원","9,758.8만원",1.2억원,-1.2억원,-2.1억원,바틀,골프장비,14.5조원
"4,392.9만원",10명,2억원,1,1억원,3,2019-09-09,"서울 용산구 한강대로 366, 에이동 패스트파이브 610호",32.90%,1,1,2억,0,pre-A,"9,741,9만원",1억원,"-4,429.7만원",-2.5억원,"-2,577.7만원",-1.1억원,-,1억원,"2,417만원","1,056만원",블루비커,보건의료 데이터,49.4조원
"2,133.3만원",7명,5억원,1,"6,500만원",3,2019-07-01,"대전 유성구 유성대로1184번길 11-24, 3층",0%,1,1,5억,0,seed,3.8억원,1.3억원,2.1억원,"5,110.9만원",1.9억원,"4,825.5만원",2.1억원,2.1억원,2.1억원,2.1억원,액트노바,생성형ai,52.7조원
4.4억원,34명,33억원,2,5.3억원,0,2019-10-17,"경기 안산시 상록구 한양대학로 55, 201호",37.20%,1,6,33억,0,pre-A,5.8억원,10.5억원,"1,042.7만원",-2억원,"2,780.5만원","-8,718만원",4.5억원,11.4억원,983.6만원,4.4억원,잉클,스마트 팩토리,151.8조원
"1,421.2만원",10명,13억원,3,2.8억원,2,2017-04-19,"서울 성북구 지봉로24길 70-6, 302호",48.40%,1,4,3억,2,pre-A,1.8억원,2.4억원,-3.6억원,-6억원,"-1,769.5만원",-1.8억원,3억원,1.9억원,"-1,347.9만원",-1.9억원,나이비,Webcasting,184.7조원
"5,081만원",12명,25억원,4,18.1억원,1,2019-04-30,"세종 조치원읍 세종로 2511, 산학협력관 109호",138.10%,1,5,15억,-,pre-A,1.3억원,4.4억원,-3억원,-5.7억원,-1.9억원,-3.2억원,1.5억원,3억원,"-6,640.3만원","-9,289.9만원",리코어,물류 창고,85조원
"4,054만원",10명,20억원,3,20.7억원,1,2019-10-22,"강원 홍천군 홍천읍 무궁화로4길 2, 2층",30.30%,1,3,5억,-,pre-A,2.4억원,20.7억원,-2.2억원,-8.4억원,-1.7억원,-7.7억원,3.3억원,5.7억원,-634.4만원,"9,459만원",어이사컴퍼니,의류 도매,804.3조원
"7,062.7만원",26명,2.5억원,4,16.3억원,2,2015-07-28,"서울 서초구 강남대로 527, 13층 1312호",61.90%,1,5,1억,3,pre-A,8.7억원,15.7억원,363.3만원,"1,213.8만원",1.6억원,359.7만원,10.4억원,17억원,3.7억원,3.7억원,라이앤캐처스,온라인 서점,196.2조원
"2,265만원",10명,8억원,2,"1,443만원",2,2019-03-14,"서울 성동구 뚝섬로13길 38, 4층",35%,1,3,5억,-,pre-A,650만원,"1,443만원",-1.5억원,-1.9억원,-1.4억원,-1.4억원,"2,799.3만원",2억원,-1.9억원,-1.2억원,이매지니어스,nft,50.8조원
1.2억원,12명,9억원,3,20만원,1,2019-01-08,"서울 성동구 성수일로 99, 902호",88.20%,1,4,2억,2,pre-A,20만원,100만원,-2.3억원,-5.7억원,-1.5억원,-2.5억원,1.3억원,6.7억원,844.5만원,4.5억원,스타일봇,의류 코디,804.3조원
"6,470.7만원",8명,10억원,3,4.9억원,1,2019-07-04,"부산 수영구 수영로 411, 6층 605호",0%,1,3,10억,-,pre-A,512.1만원,"9,032.1만원",-1.1억원,-3.6억원,-1억원,-3.7억원,4.6억원,4.6억원,-1억원,-1억원,공유어장,전자상거래,3800.6조원
1.6억원,24명,6억원,1,47.2억원,1,2014-12-29,"서울 금천구 가산디지털1로 128, 1001호",34.50%,1,2,6억,-,seed,59.7억원,42.3억원,2.5억원,"5,717.8만원","1,658.5만원","1,563.5만원",10.5억원,12.4억원,"3,841.6만원","5,405.1만원",제이펀,광고마케팅,810.1조원
2.4억원,4명,6억원,2,5.2억원,0,2019-06-28,"경기 수원시 장안구 서부로 2066, 제2공학관 25512호",46.20%,1,2,5억,-,seed,4.4억원,5.2억원,"-6,405.1만원","1,311.5만원","-6,476.3만원",700.6만원,1.4억원,11.2억원,"5,886.9만원",6.5억원,청명첨단소재,강화 플라스틱(CFRP),184.7조원
45.6억원,14명,50억원,1,"5,643.2만원",1,2019-09-24,"서울 노원구 공릉로 232, 404호",45.90%,1,3,50억,-,pre-A,900만원,"5,643.2만원",-3.5억원,-4.5억원,-1억원,-4.7억원,2.5억원,46억원,"3,708.3만원",45.6억원,인세리브로,의약품,1900.1조원
"3,807.6만원",4명,7억원,1,"4,311.6만원",1,2019-05-23,"경기 성남시 분당구 대왕판교로645번길 12, R동 8층 01호",192%,1,2,7억,2,seed,"2,800만원","4,311.6만원",-1.2억원,-1.1억원,"-6,095.2만원",-1억원,"1,778.7만원",5.9억원,"-6,047.5만원",5.3억원,스트럼코리아,협업툴,47.1조원
"1,309만원",23명,10억원,2,"8,517.4만원",0,2019-06-19,"인천 남동구 선수촌공원로 5, C동 2층 206호",10.40%,1,2,5억,-,seed,"3,702.1만원",0만원,-2.9억원,-4.9억원,"-4,831.2만원","3,840.4만원",8.9억원,11억원,4.6억원,6.3억원,쉐코,수질 정화,40.6조원
"5,571.4만원",31명,4억원,1,1.2억원,0,2020-11-02,"서울 강남구 삼성로 422, 2층",93%,1,2,4억,0,seed,1.4억원,1.2억원,-372.2만원,-7.8억원,163.8만원,-3.5억원,1.8억원,4.2억원,"5,163.8만원","9,393.1만원",이모티브,디지털헬스케어,345.3조원
129만원,5명,10억원,3,2억원,2,2018-10-19,"서울 서초구 강남대로 311, 721호,722호",99.40%,1,3,5억,0,pre-A,1.2억원,2억원,-1.8억원,-3.7억원,-1.5억원,-3.6억원,"3,620.1만원",4.7억원,-1.7억원,2.5억원,에이비제트,소셜네트워크,254.8조원
