투자사,기업명,투자점수
"['알토스벤처스', ' 카카오벤처스', ' 에이티넘인베스트먼트', ' 에이티넘인베스트먼트', ' 카카오벤처스', ' 소프트뱅크벤처스', ' 컴퍼니케이파트너스', ' 끌림벤처스', ' 에이티넘인베스트먼트', ' 소프트뱅크벤처스', ' 컴퍼니케이파트너스', ' 베이스인베스트먼트', ' 끌림벤처스', ' 카카오벤처스', ' 컴퍼니케이파트너스', ' 베이스인베스트먼트', ' 끌림벤처스', ' 끌림벤처스']",라포랩스,380
"['콜버그크래비스로버츠', ' 웰링턴매니지먼트', ' 세쿼이아캐피탈', ' 아이엠엠인베스트먼트', ' 세쿼이아캐피탈']",무신사,155
"['제이비금융지주', ' 500글로벌', ' 기아', ' 트랜스링크캐피털', ' 500글로벌', ' 비공개투자자', ' 인터베스트', ' 스트롱벤처스', ' 제이비인베스트먼트', ' 우리은행', ' 쿠콘', ' 비공개투자자', ' 500글로벌', ' 스트롱벤처스', ' 퓨처플레이', ' 디캠프', ' 500글로벌', ' 퓨처플레이', ' 매쉬업엔젤스']",핀다,589
"['우리벤처파트너스', ' 컴퍼니케이파트너스', ' 알토스벤처스', ' 한국증권금융', ' 알토스벤처스', ' 컴퍼니케이파트너스', ' 다올인베스트먼트', ' 한국투자파트너스', ' 오라이언자산운용', ' 디에스씨인베스트먼트', ' 인터베스트', ' 컴퍼니케이파트너스', ' 다올인베스트먼트', ' 디에스씨인베스트먼트', ' 데브시스터즈벤처스', ' 한국투자파트너스', ' 현대기술투자', ' 다올인베스트먼트', ' 디에스씨인베스트먼트', ' 데브시스터즈벤처스', ' 엔에이치엔페이코', ' 골든에그', ' 엔에이치엔페이코']",와드,206
"['비공개', ' 넥슨코리아', ' 아스테란인베스트먼트', ' 아이엠엠인베스트먼트', ' 솔론인베스트먼트', ' 아스테란인베스트먼트', ' 넷마블']",마플코퍼레이션,21
"['앵커에쿼티파트너스', ' 아스펙스캐피탈', ' 앵커에쿼티파트너스', ' 애스펙스매니지먼트', ' 디티에스글로벌', ' 세쿼이아캐피탈차이나', ' 힐하우스캐피탈그룹', ' 밀레니엄매니지먼트', ' 씨제이대한통운', ' 힐하우스캐피탈그룹', ' 세마인베스트먼트', ' 세쿼이아캐피탈차이나', ' 에스케이네트웍스', ' 디지털스카이테크놀로지글로벌', ' 애스펙스매니지먼트', ' 힐하우스캐피탈그룹', ' 한국투자파트너스', ' 유티씨인베스트먼트', ' 미래에셋벤처투자', ' 캡스톤파트너스', ' 트랜스링크캐피털', ' 세쿼이아캐피탈차이나', ' 디지털스카이테크놀로지글로벌', ' 세쿼이아캐피탈차이나', ' 디지털스카이테크놀로지글로벌', ' 한국투자파트너스', ' 유티씨인베스트먼트', ' 미래에셋벤처투자', ' 캡스톤파트너스', ' 트랜스링크캐피털', ' 에스케이네트웍스', ' 비공개', ' 알펜루트자산운용', ' 한국투자파트너스', ' 유티씨인베스트먼트', ' 엘비인베스트먼트', ' 캡스톤파트너스', ' 디에스자산운용', ' 세마인베스트먼트', ' 아이비케이기업은행', ' 디에스씨인베스트먼트', ' 비공개개인투자자']",컬리,256
"['자이언트스텝', ' 자이언트스텝', ' 나이스투자파트너스', ' 에스제이투자파트너스', ' 티에스인베스트먼트', ' 티에스인베스트먼트', ' 에스제이투자파트너스', ' 케이비증권', ' 비공개', ' 와디즈파트너스', ' 이에스인베스터', ' 에스제이투자파트너스', ' 케이비증권', ' 에스제이투자파트너스', ' 케이비증권', ' 크립톤']",트립비토즈,18
"['디에스티글로벌', ' 애스펙스매니지먼트', ' 레버런트파트너스', ' 굿워터캐피털', ' 알토스벤처스', ' 카카오벤처스', ' 스트롱벤처스', ' 캡스톤파트너스', ' 소프트뱅크벤처스', ' 알토스벤처스', ' 소프트뱅크벤처스', ' 캡스톤파트너스', ' 카카오벤처스', ' 굿워터캐피털', ' 소프트뱅크벤처스', ' 스트롱벤처스', ' 카카오벤처스', ' 캡스톤파트너스', ' 스트롱벤처스', ' 카카오벤처스']",당근마켓,497
"['브이아이지파트너스', ' 알토스벤처스', ' 아이엠엠인베스트먼트', ' 스마일게이트인베스트먼트', ' 한국산업은행', ' 액시엄아시아프라이빗캐피탈', ' 파텍파트너스', ' 텍톤벤처스', ' 아이비케이캐피탈', ' 알토스벤처스', ' 미래에셋캐피탈', ' 아이엠엠인베스트먼트', ' 스마일게이트인베스트먼트', ' 아이비케이캐피탈', ' 알토스벤처스', ' 미래에셋캐피탈', ' 아이엠엠인베스트먼트', ' 스마일게이트인베스트먼트', ' 아이엠엠인베스트먼트', ' 알토스벤처스', ' 스마일게이트인베스트먼트', ' 스마일게이트인베스트먼트', ' 캡스톤파트너스', ' 본엔젤스벤처파트너스', ' 매쉬업엔젤스', ' 프라이머']",마이리얼트립,651
"['한국산업은행', ' 아이엠엠인베스트먼트', ' 소프트뱅크벤처스', ' 비알브이캐피털매니지먼트', ' 버텍스홀딩스', ' 미래에셋캐피탈', ' 미래에셋벤처투자', ' 케이비인베스트먼트', ' 스마일게이트인베스트먼트', ' 본드캐피탈', ' 본드캐피탈', ' 아이엠엠인베스트먼트', ' 미래에셋벤처투자', ' 미래에셋캐피탈', ' 네이버', ' 네이버', ' 미래에셋벤처투자', ' 아이엠엠인베스트먼트', ' 아이엠엠인베스트먼트', ' 본엔젤스벤처파트너스', ' 스프링캠프', ' 서울대학교기술지주', ' 매쉬업엔젤스']",버킷플레이스,445
