고용인원,투자유치횟수,서비스/제품 수,주소,연간 퇴사율,공동 창업자 수,총 투자자 수,특허기술 평균등급,최종투자단계,산업군,투자점수,자본금(만원),누적투자유치금액(만원),연매출(만원),매출액_2020(만원),매출액_2021(만원),영업이익_2020(만원),영업이익_2021(만원),순이익_2020(만원),순이익_2021(만원),자산_2020(만원),자산_2021(만원),자본_2020(만원),자본_2021(만원),2022기준 시장규모(만원),최근투자유치(만원),년차,자본잠식률
8,1,1,인천 연수구,24,1,1,2.0,seed,전기차배터리,60,2917,10000,22000,0,37000,-70,-19000,-70,14000,100,31000,100,101,25490000000,10000,3,96.54
13,1,3,인천 연수구,0,1,1,2.0,pre-A,자율주행차,1,3000,800000,133000,1000,133000,-100,21000,-100,19000,3535,84000,2899,22000,16619999999,800000,3,-633.33
2,1,3,경남 창원시,100,1,1,2.0,seed,감속기,1,11000,20000,19000,5031,16000,-31000,-33000,-17000,-23000,54000,38000,-9232,-32000,4820000000,20000,4,390.91
10,1,12,경기 성남시,82,1,1,2.8,seed,로봇,1,15000,10000,37000,10000,18000,-21000,-59000,3998,1239,48000,112000,10000,18000,4260000000,10000,7,-20.0
11,1,1,서울 강남구,51,1,1,2.0,pre-A,디지털헬스케어,1,14000,100000,58000,476000,407000,15000,21000,16000,23000,187000,585000,127000,480000,34530000000,100000,6,-3328.57
29,3,1,서울 서초구,32,1,6,0.0,pre-A,생성형ai,182,1526,164000,37000,9720,17000,-50000,-94000,23,-13000,24000,52000,24000,10000,5270000000,150000,4,-555.31
2,2,1,서울 강남구,33,1,2,0.0,seed,디지털헬스케어,105,1375,100000,13000,8554,13000,-39000,-48000,-29000,-42000,14000,66000,5035,12000,34530000000,50000,3,-772.73
5,2,1,서울 강남구,0,1,2,0.0,pre-A,소셜네트워크,110,6390,100000,25,13,25,-1313,-6643,-1313,-6013,834,880,-1013,-936,100000000,100000,3,114.65
15,2,1,경기 용인시,113,1,2,0.0,pre-A,팬덤 경제,62,11000,130000,256000,20000,42000,119,-3746,84,-3188,34000,77000,-6840,10000,800000000,130000,5,9.09
11,10,1,서울 강서구,153,1,21,4.7,pre-B,생성형ai,196,93000,1383000,503000,86000,787000,34000,94000,131000,23000,375000,1598000,290000,1225000,5270000000,260000,4,-1217.2
19,3,1,서울 강남구,46,2,9,0.0,pre-A,카셰어링,182,47000,300000,15000,71,172,-19000,-102000,-14000,-92000,24000,36000,8850,28000,1950000000,168000,4,40.43
41,1,3,서울 성동구,29,1,1,0.0,seed,생성형ai,1,8418,50000,772000,73000,457000,-65000,-27000,-68000,-43000,285000,441000,85000,8844,5270000000,50000,5,-5.06
45,2,1,서울 성동구,53,1,2,0.0,seed,데이터,63,17000,30000,84000,2673,51000,-37000,-46000,-4078,20000,62000,136000,20000,64000,2510000000,20000,4,-276.47
6,1,1,경기 성남시,0,2,1,2.0,seed,클라우드,60,1111,10000,1930,1457,1930,-4066,-36000,-178,-3673,10000,10000,10000,7149,47960000000,10000,3,-543.47
4,1,1,서울 서대문구,97,2,1,0.0,seed,디지털헬스케어,1,3124,10000,108000,16000,8184,461,-25000,552,-8915,13000,22000,-413,-9329,34530000000,10000,4,398.62
16,3,2,전북 전주시,43,2,4,3.0,pre-A,뷰티테크,132,47000,150000,68000,80000,104000,-45000,-137000,-37000,-118000,207000,231000,132000,148000,7259999999,140000,7,-214.89
17,1,1,서울 서초구,51,1,1,0.0,seed,데이터,90,12000,10000,56000,184000,131000,68000,-68000,110000,508,177000,255000,127000,138000,2510000000,10000,5,-1050.0
6,1,2,서울 강남구,58,1,1,0.0,seed,간호 용품,30,39000,10000,89000,3079,41000,-7442,-19000,-6008,1519,37000,42000,11000,13000,61490000,10000,3,66.67
3,1,2,서울 관악구,40,1,1,0.0,seed,의류제조,30,988,7000,59000,21000,48000,4113,2748,3841,2640,20000,64000,11000,23000,80430000000,7000,3,-2227.94
4,1,3,서울 마포구,32,1,2,0.0,seed,나노필터,11,78000,200000,37000,11000,16000,-26000,-32000,-6231,2995,220000,224000,68000,71000,9510000000,120000,6,8.97
2,1,1,서울 강동구,98,1,1,0.0,pre-A,하우스 케어,1,12000,40000,92000,16000,28000,-23000,-26000,-23000,-26000,38000,22000,35000,8738,20070000000,40000,4,27.18
24,4,1,서울 중구,33,2,5,2.0,pre-A,음원 유통,73,5183,160000,235000,134000,177000,-76000,-80000,-46000,-65000,111000,55000,108000,33000,34320000000,50000,5,-536.7
6,1,1,대구 동구,0,1,1,2.6,seed,의료기기 로봇,60,9741,100000,37000,636,13000,-15000,-18000,-14000,-16000,31000,68000,-3601,34000,1250000000,50000,4,-249.04
9,2,1,서울 강남구,34,1,2,0.0,seed,에듀테크,17,5710,20000,90000,35000,74000,-13000,16000,-1435,15000,39000,47000,2347,18000,16490000000,15000,6,-215.24
5,4,1,서울 강남구,141,1,7,0.0,seed,소셜네트워크,161,8995,23000,58000,3067,23000,-45000,-69000,-7240,-43000,77000,80000,18000,6377,25480000000,50000,6,29.11
14,1,3,인천 연수구,8,2,2,2.0,seed,의료기기,20,42000,50000,5956,1435,5023,-32000,-26000,-31000,-25000,41000,325000,28000,203000,6750000000,50000,4,-383.33
14,2,1,서울 구로구,39,1,3,0.0,seed,서버 개발,71,65000,80000,68000,55000,38000,6241,-60000,10000,-52000,154000,301000,119000,266000,11760000000,20000,6,-309.23
12,2,1,서울 마포구,65,1,2,0.0,pre-A,카셰어링,61,3431,165000,12000,1664,2429,-4944,-32000,-1371,-22000,13000,18000,-1271,-6171,1950000000,150000,3,279.86
20,2,3,서울 도봉구,76,1,2,0.0,seed,영상 제작,2,3000,70000,22000,10000,26000,-5539,-41000,2687,6482,4726,66000,3076,39000,35230000000,40000,4,-1200.0
19,4,1,대전 유성구,34,1,8,0.0,pre-A,데이터,252,740,400000,84000,4604,28000,-46000,-19000,-45000,-17000,45000,63000,40000,23000,2510000000,50000,4,-3008.11
10,5,1,대구 남구,134,1,7,0.0,pre-A,미술 시장,245,49000,144000,126000,17000,72000,-9494,-2549,-1409,-37000,15000,4845,3436,-2397,8930000000,26000,4,104.89
19,3,1,서울 마포구,48,1,4,2.0,pre-A,보건의료 데이터,88,8343,110000,24000,23000,26000,-2442,-10000,-2836,-11000,35000,49000,3570,17000,44010000000,20000,4,-103.76
13,2,1,서울 종로구,19,1,2,0.0,pre-A,주얼리 전자상거래,17,11000,22,254000,2754,33000,-1200,-18000,-1199,-18000,2394,35000,-1198,25000,170000000,110000,3,-127.27
62,3,2,서울 강서구,37,2,8,2.0,pre-A,데이터 관리,212,6863,2400000,1200000,139000,370000,-73000,118000,-70000,109000,91000,257000,-46000,63000,11740000000,2100000,7,-817.97
2,1,1,서울 마포구,87,1,1,0.0,seed,소셜네트워크,80,233,40000,11000,6329,11000,-915,-17000,-914,-6626,1681,43000,1211,34000,25480000000,40000,3,-14492.27
26,2,1,경기 화성시,27,1,3,2.0,pre-A,생성형ai,86,186,400000,53000,1640,21000,-56000,-36000,71,8909,73000,383000,36000,345000,5270000000,300000,5,-185383.87
19,1,1,서울 서초구,64,1,2,0.0,pre-A,데이터,70,27000,100000,339000,205000,399000,-5021,-249000,61000,-92000,299000,115000,141000,49000,2510000000,50000,6,-81.48
24,1,5,경기 김포시,50,1,1,0.0,seed,에듀테크,1,5114,1,270000,75000,192000,401,-539,14000,10000,44000,77000,164,28000,16490000000,10000,7,-447.52
6,2,1,서울 강남구,77,1,3,0.0,pre-A,에듀테크,12,106,150000,13000,15000,13000,-24000,-27000,-2600,-1103,57000,93000,114,29000,16490000000,50000,6,-27258.49
15,1,1,서울 강남구,52,1,1,0.0,pre-A,배달,61,10000,200000,451000,190000,275000,1257,21000,15000,39000,51000,88000,-5423,33000,17140000000,200000,7,-230.0
27,2,1,서울 서초구,39,1,4,0.0,pre-A,물류 관리,43,33000,340000,669000,99000,496000,-39000,-76000,-33000,-25000,57000,122000,29000,3847,3000000000,240000,3,88.34
18,4,1,서울 성북구,86,1,5,0.0,pre-A,팬덤 경제,163,129,150000,142000,23000,142000,-31000,-37000,-23000,-19000,23000,40000,20000,638,800000000,30000,4,-394.57
16,3,1,경기 안양시,12,1,4,4.0,pre-A,에듀테크,5,63000,300000,101000,30000,58000,-28000,-8113,1712,6380,22000,230000,-71000,114000,16490000000,200000,7,-80.95
7,1,1,경기 성남시,67,1,2,0.0,seed,골프장비,71,3797,40000,2894,11000,10000,-24000,-33000,-16000,-8690,9758,12000,-12000,-21000,1450000000,40000,5,653.07
10,1,3,서울 용산구,32,1,1,0.0,pre-A,보건의료 데이터,1,4392,20000,10000,97419,10000,-4429,-25000,-2577,-11000,0,10000,2417,1056,4940000000,20000,4,75.96
7,1,3,대전 유성구,0,1,1,0.0,seed,생성형ai,30,2133,50000,6500,38000,13000,21000,5110,19000,4825,21000,21000,21000,21000,5270000000,50000,4,-884.53
34,2,0,경기 안산시,37,1,6,0.0,pre-A,스마트 팩토리,18,44000,330000,53000,58000,105000,1042,-20000,2780,-8718,45000,114000,983,44000,15180000000,330000,4,0.0
10,3,2,서울 성북구,48,1,4,2.0,pre-A,Webcasting,28,1421,130000,28000,18000,24000,-36000,-60000,-1769,-18000,30000,19000,-1347,-19000,18470000000,30000,6,1437.09
12,4,1,세종 조치원읍,138,1,5,0.0,pre-A,물류 창고,44,5081,250000,181000,13000,44000,-30000,-57000,-19000,-32000,15000,30000,-6640,-9289,8500000000,150000,4,282.82
10,3,1,강원 홍천군,30,1,3,0.0,pre-A,의류 도매,72,4054,200000,207000,24000,207000,-22000,-84000,-17000,-77000,33000,57000,-634,9459,80430000000,50000,4,-133.33
26,4,2,서울 서초구,61,1,5,3.0,pre-A,온라인 서점,49,7062,25000,163000,87000,157000,363,1213,16000,359,104000,170000,37000,37000,19620000000,10000,8,-423.93
10,2,2,서울 성동구,35,1,3,0.0,pre-A,nft,13,2265,80000,1443,650,1443,-15000,-19000,-14000,-14000,2799,20000,-19000,-12000,5080000000,50000,4,629.8
12,3,1,서울 성동구,88,1,4,2.0,pre-A,의류 코디,81,12000,90000,20,20,100,-23000,-57000,-15000,-25000,13000,67000,844,45000,80430000000,20000,4,-275.0
8,3,1,부산 수영구,0,1,3,0.0,pre-A,전자상거래,8,6470,100000,49000,512,9032,-11000,-36000,-10000,-37000,46000,46000,-10000,-10000,380060000000,100000,4,254.56
24,1,1,서울 금천구,34,1,2,0.0,seed,광고마케팅,3,16000,60000,472000,597000,423000,25000,5717,1658,1563,105000,124000,3841,5405,81010000000,60000,9,66.22
4,2,0,경기 수원시,46,1,2,0.0,seed,강화 플라스틱(CFRP),1,24000,60000,52000,44000,52000,-6405,1311,-6476,700,14000,112000,5886,65000,18470000000,50000,4,-170.83
14,1,1,서울 노원구,45,1,3,0.0,pre-A,의약품,4,456000,500000,5643,900,5643,-35000,-45000,-10000,-47000,25000,460000,3708,456000,190010000000,500000,4,0.0
4,1,1,경기 성남시,192,1,2,2.0,seed,협업툴,31,3807,70000,4311,2800,4311,-12000,-11000,-6095,-10000,1778,59000,-6047,53000,4710000000,70000,4,-1292.17
23,2,0,인천 남동구,10,1,2,0.0,seed,수질 정화,4,1309,100000,8517,3702,0,-29000,-49000,-4831,3840,89000,110000,46000,63000,4060000000,50000,4,-4712.83
31,1,0,서울 강남구,93,1,2,0.0,seed,디지털헬스케어,5,5571,40000,12000,14000,12000,-372,-78000,163,-35000,18000,42000,5163,9393,34530000000,40000,3,-68.61
5,3,2,서울 서초구,99,1,3,0.0,pre-A,소셜네트워크,111,129,100000,20000,12000,20000,-18000,-37000,-15000,-36000,3620,47000,-17000,25000,25480000000,50000,5,-19279.84
12,1,1,서울 동대문구,16,1,1,4.2,pre-A,신약개발,31,30000,300000,7002,9864,9184,-65000,-196000,-64000,-204000,49000,171000,24000,120000,7290000000,300000,7,-300.0
23,1,1,서울 서초구,36,1,1,0.0,seed,채용플랫폼,1,54000,220000,144000,80000,26000,-17000,-122000,-20000,-124000,39000,53000,29000,45000,5680000000,220000,7,16.67
3,2,2,서울 강남구,0,1,2,0.0,seed,중고 명품,150,8184,80000,17000,7644,7518,-38000,-40000,-26000,-25000,10000,20000,-25000,-31000,4079999999,50000,5,478.79
33,1,3,경기 성남시,27,1,1,6.5,pre-A,모바일 결제,30,13000,50000,231000,45000,89000,-35000,-69000,-12000,-64000,115000,161000,72000,57000,7109999999,50000,10,-338.46
15,2,1,부산 남구,165,1,2,0.0,seed,핀테크,3,11000,40000,26000,763,29000,-48000,-106000,-21000,48000,46000,90000,2200,70000,25650000000,20000,4,-536.36
3,1,3,서울 강남구,30,1,1,0.0,seed,라이브커머스,60,500,40000,71000,2891,48000,-2469,-21000,-2472,-21000,4997,23000,-1972,-23000,17770000000,40000,3,4700.0
9,1,1,서울 관악구,28,1,1,0.0,seed,핀테크,30,27000,50000,3959,3959,0,1397,-2066,2033,-752,47000,76000,46000,27000,25650000000,50000,5,0.0
2,1,1,경남 통영시,72,1,1,0.0,seed,수산식품,3,1111,10000,4505,2699,4505,-3578,-32000,488,-16000,12000,38000,11000,-4642,32920000000,10000,3,517.82
6,1,1,서울 강남구,14,1,2,2.0,seed,레이저,1,36000,13000,1358,0,323,-34000,-49000,-34000,-38000,16000,17000,-4369,-23000,2360000000,13000,4,163.89
6,3,1,경기 고양시,160,1,3,3.3,seed,에듀테크,76,11000,50000,40000,75000,40000,-53000,-115000,-32000,-25000,196000,198000,42000,24000,16490000000,10000,8,-118.18
1,2,1,경기 평택시,97,1,2,0.0,pre-A,자동차부품,61,6587,40000,530000,167000,530000,8355,3380,8679,13000,214000,275000,63000,91000,86750000000,20000,5,-1281.51
2,1,2,대구 수성구,112,1,1,0.0,seed,리세일,15,1000,4000,4784,1879,4784,-9053,-15000,-7622,-8054,12000,4644,327,-7727,23280000000,4000,3,872.7
13,5,3,서울 금천구,47,1,6,3.0,pre-A,지능형교통시스템ITS,193,15000,150000,25000,18000,25000,-32000,-45000,-5573,5088,74000,78000,11000,15000,5990000000,30000,7,0.0
7,1,1,경기 남양주시,17,1,1,2.0,seed,캠핑,60,10000,10000,53000,22000,50000,-12000,-40000,-3119,-37000,17000,18000,754,-31000,2070000000,10000,4,410.0
14,2,1,인천 부평구,119,1,2,0.0,seed,버튜버,33,5555,60000,19000,11000,19000,-5329,-19000,-5259,-2231,10000,16000,3406,1174,270000000,10000,5,78.87
2,1,2,전북 전주시,66,1,2,2.0,seed,푸드핀테크,70,10000,100000,112000,40000,138000,-36000,19000,-22000,18000,57000,105000,-12000,5956,25540000000,10000,6,40.44
34,2,2,경기 안산시,39,1,6,4.4,pre-A,에너지관리시스템EMS,66,38000,350000,498000,101000,247000,3729,7257,9445,17000,230000,321000,92000,135000,5230000000,350000,6,-255.26
14,1,12,부산 남구,15,1,2,3.0,pre-A,디지털헬스케어,3,56000,40000,64000,56000,47000,-15000,5755,1218,2012,176000,172000,44000,46000,34530000000,40000,7,17.86
9,5,3,경기 하남시,129,1,7,2.0,pre-A,슬립테크,16,6481,78000,295,5080,295,-26000,-42000,1678,-31000,89000,85000,42000,10000,2110000000,19000,4,-54.3
35,1,1,서울 구로구,8,1,1,4.1,pre-A,생체인식시스템,1,325000,100000,987000,663000,953000,23000,83000,-35000,117000,971000,1196000,-3482000,-3365000,5650000000,100000,19,1135.38
67,4,2,경기 하남시,20,1,4,3.0,pre-A,사진인화,55,56000,230000,2376000,1885000,1976000,40000,26000,25000,24000,1166000,1458000,566000,566000,2680000000,100000,14,-910.71
1,1,1,서울 강남구,100,2,1,0.0,seed,반려동물,30,47000,30000,32000,51000,43000,12000,8328,9547,7627,41000,46000,15000,23000,3110000000,30000,8,51.06
15,3,1,서울 성동구,39,2,5,0.0,pre-A,캠핑,126,1315,200000,96000,61000,21000,-40000,-20000,-37000,-22000,22000,26000,-35000,-32000,2070000000,50000,5,2533.46
17,2,1,서울 중구,44,1,3,0.0,pre-A,OTT,196,134,90000,147000,3112,44000,653,-5133,1802,3740,7503,38000,6902,35000,19620000000,90000,3,-26019.4
243,3,1,서울 강남구,36,1,5,0.0,pre-A,에듀테크,286,1052,400000,3603000,202000,1020000,-38000,-63000,-26000,-22000,131000,644000,34000,261000,16490000000,250000,5,-24709.89
12,3,2,서울 구로구,160,1,3,0.0,pre-A,펫커머스,76,1182,40000,222000,76000,222000,-27000,-3903,-10000,1742,56000,79000,1082,2825,3279999999,10000,6,-139.0
82,2,3,경기 안산시,6,1,4,2.6,pre-A,드론,64,79000,400000,921000,648000,539000,25000,-35000,33000,-41000,417000,842000,143000,282000,3640000000,300000,6,-256.96
20,2,1,서울 중구,60,1,7,0.0,pre-A,의류도소매,27,3956,153000,113000,0,23000,-1793,-43000,-1766,-31000,2665,63000,1233,22000,80430000000,100000,3,-456.12
13,3,1,서울 구로구,27,1,4,0.0,pre-A,구독경제,50,13000,480000,38000,4300,11000,-5342,-16000,300,1305,42000,97000,652,31000,36190000000,250000,4,-138.46
32,3,1,서울 강남구,48,1,6,0.0,pre-A,콘텐츠,75,5281,280000,25000,11000,25000,-11000,-49000,-6723,-9233,34000,57000,4551,25000,21430000000,250000,5,-373.4
23,1,7,서울 강남구,33,1,1,0.0,pre-A,공간대여,15,10000,170000,295000,238000,229000,57000,52000,64000,59000,241000,315000,117000,176000,310070000000,170000,9,-1660.0
10,3,1,서울 강남구,68,1,3,0.0,pre-A,정밀농업,36,282,250000,46000,240,10000,-13000,-38000,-11000,-16000,20000,33000,4365,17000,1010000000,220000,6,-5928.37
13,5,1,경기 남양주시,167,1,7,0.0,pre-A,리세일,332,3857,200000,164000,106000,125000,-111000,-105000,-97000,-106000,73000,40000,9370,-97000,23280000000,50000,5,2614.91
14,3,1,서울 마포구,93,1,9,2.0,pre-A,MaaS,67,12000,100000,5817,974,3429,-23000,-20000,-14000,-9699,62000,86000,2051,14000,12990000000,80000,4,-16.67
40,5,1,대구 북구,27,1,9,0.0,pre-B,부동산중개,82,224000,330000,118000,34000,87000,-75000,-37000,-325000,-43000,238000,186000,-486000,-529000,173320000000,80000,8,336.16
9,2,1,서울 영등포구,159,1,4,0.0,pre-A,HR테크,103,7302,40000,3276,17000,21000,-1326,-31000,689,-7897,24000,26000,5804,-3683,3150000000,20000,4,150.44
14,3,1,경기 하남시,43,1,5,0.0,pre-A,부동산중개,19,44000,150000,10000,46000,5033,13000,-56000,11000,-53000,57000,160000,41000,41000,173320000000,30000,3,6.82
8,1,1,서울 마포구,43,2,1,0.0,seed,에듀테크,15,12000,30000,21,0,21,-2934,-22000,-3015,-16000,40000,54000,3101,16000,16490000000,30000,5,-33.33
18,4,3,서울 강남구,81,1,7,4.0,pre-A,안전서비스,59,104000,160000,64000,909,96000,-21000,-63000,-16000,-56000,9290,64000,8638,-23000,409999999,110000,3,122.12
16,3,3,서울 강남구,68,1,5,2.4,pre-A,디지털헬스케어,74,7851,250000,41000,83000,9280,20000,-137000,28000,-102000,65000,161000,20000,123000,34530000000,200000,6,-1466.68
8,2,1,서울 서초구,91,1,2,0.0,pre-A,펫커머스,4,6250,85000,324000,162000,229000,-15000,-31000,-14000,-30000,11000,118000,-41000,13000,3279999999,24000,5,-108.0
