고용인원,투자유치횟수,서비스/제품 수,연간 퇴사율,공동 창업자 수,총 투자자 수,특허기술 평균등급,최종투자단계,투자점수,자본금(만원),누적투자유치금액(만원),연매출(만원),매출액_2020(만원),매출액_2021(만원),영업이익_2020(만원),영업이익_2021(만원),순이익_2020(만원),순이익_2021(만원),자산_2020(만원),자산_2021(만원),자본_2020(만원),자본_2021(만원),2022기준 시장규모(만원),최근투자유치(만원),년차,자본잠식률,주소 점수
8,1,1,24,1,1,2.0,seed,60,2917,10000,22000,0,37000,-70,-19000,-70,14000,100,31000,100,101,25490000000,10000,3,96.54,4
13,1,3,0,1,1,2.0,pre-A,1,3000,800000,133000,1000,133000,-100,21000,-100,19000,3535,84000,2899,22000,16619999999,800000,3,-633.33,4
2,1,3,100,1,1,2.0,seed,1,11000,20000,19000,5031,16000,-31000,-33000,-17000,-23000,54000,38000,-9232,-32000,4820000000,20000,4,390.91,2
10,1,12,82,1,1,2.8,seed,1,15000,10000,37000,10000,18000,-21000,-59000,3998,1239,48000,112000,10000,18000,4260000000,10000,7,-20.0,6
11,1,1,51,1,1,2.0,pre-A,1,14000,100000,58000,476000,407000,15000,21000,16000,23000,187000,585000,127000,480000,34530000000,100000,6,-3328.57,12
29,3,1,32,1,6,0.0,pre-A,182,1526,164000,37000,9720,17000,-50000,-94000,23,-13000,24000,52000,24000,10000,5270000000,150000,4,-555.31,10
2,2,1,33,1,2,0.0,seed,105,1375,100000,13000,8554,13000,-39000,-48000,-29000,-42000,14000,66000,5035,12000,34530000000,50000,3,-772.73,12
5,2,1,0,1,2,0.0,pre-A,110,6390,100000,25,13,25,-1313,-6643,-1313,-6013,834,880,-1013,-936,100000000,100000,3,114.65,12
15,2,1,113,1,2,0.0,pre-A,62,11000,130000,256000,20000,42000,119,-3746,84,-3188,34000,77000,-6840,10000,800000000,130000,5,9.09,5
11,10,1,153,1,21,4.7,pre-B,196,93000,1383000,503000,86000,787000,34000,94000,131000,23000,375000,1598000,290000,1225000,5270000000,260000,4,-1217.2,7
19,3,1,46,2,9,0.0,pre-A,182,47000,300000,15000,71,172,-19000,-102000,-14000,-92000,24000,36000,8850,28000,1950000000,168000,4,40.43,12
41,1,3,29,1,1,0.0,seed,1,8418,50000,772000,73000,457000,-65000,-27000,-68000,-43000,285000,441000,85000,8844,5270000000,50000,5,-5.06,8
45,2,1,53,1,2,0.0,seed,63,17000,30000,84000,2673,51000,-37000,-46000,-4078,20000,62000,136000,20000,64000,2510000000,20000,4,-276.47,8
6,1,1,0,2,1,2.0,seed,60,1111,10000,1930,1457,1930,-4066,-36000,-178,-3673,10000,10000,10000,7149,47960000000,10000,3,-543.47,6
4,1,1,97,2,1,0.0,seed,1,3124,10000,108000,16000,8184,461,-25000,552,-8915,13000,22000,-413,-9329,34530000000,10000,4,398.62,7
16,3,2,43,2,4,3.0,pre-A,132,47000,150000,68000,80000,104000,-45000,-137000,-37000,-118000,207000,231000,132000,148000,7259999999,140000,7,-214.89,1
17,1,1,51,1,1,0.0,seed,90,12000,10000,56000,184000,131000,68000,-68000,110000,508,177000,255000,127000,138000,2510000000,10000,5,-1050.0,10
